market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | BLAST.tv (Glitter) | Paris 2023,EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,52,0.02,0.04,0.02,0.02,363,0.02,0.06,0.02,0.02,999
Sealed Graffiti | Recoil FAMAS (Brick Red),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
★ Karambit | Boreal Forest (Field-Tested),EUR,,,,,,0,599,599,599,599,1,599,674.39,625.85,615.01,4,599,774.32,679.04,674.39,9
Souvenir AUG | Sand Storm (Factory New),EUR,4.29,4,4.38,4.19,4.19,2,4,4.38,4.28,4.36,4,2.97,11.4,4.35,4.2,27,2.97,11.4,4.58,4.33,64
★ Survival Knife | Stained (Factory New),EUR,169.99,,,,,0,166.22,166.22,166.22,166.22,1,133.9,166.22,150.06,150.06,2,133.9,190,164.59,166.22,5
★ StatTrak™ Karambit | Autotronic (Field-Tested),EUR,1536.26,,,,,0,,,,,0,,,,,0,900.44,1399,1187.09,1185.15,11
Sticker | NiKo | Krakow 2017,EUR,,,,,,0,,,,,0,14.41,14.41,14.41,14.41,1,12.75,18.96,16.79,18.89,5
Sticker | dumau (Gold) | Copenhagen 2024,EUR,1.82,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ XM1014 | Slipstream (Battle-Scarred),EUR,0.29,,,,,0,0.27,0.27,0.27,0.27,1,0.24,0.27,0.26,0.26,2,0.24,0.56,0.34,0.29,5
★ StatTrak™ Skeleton Knife | Night Stripe (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,205.22,205.22,205.22,205.22,1
Sticker | Golden (Gold) | Katowice 2019,EUR,340.91,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | ESL Wolf (Foil) | Katowice 2014,EUR,,,,,,0,450,450,450,450,1,450,450,450,450,1,450,450,450,450,1
★ StatTrak™ Falchion Knife | Bright Water (Minimal Wear),EUR,176.44,128.49,128.49,128.49,128.49,1,128.49,128.49,128.49,128.49,1,128.49,128.49,128.49,128.49,1,128.49,176.29,148.22,142.96,6
Sticker | Akihabara Accept Surf Ava (Foil),EUR,6.59,,,,,0,6.57,6.57,6.57,6.57,1,5.37,6.57,5.79,5.44,3,4.7,6.7,5.72,5.65,26
Souvenir SG 553 | Fallout Warning (Well-Worn),EUR,176.94,,,,,0,,,,,0,4.94,4.94,4.94,4.94,1,4.94,4.94,4.94,4.94,1
★ StatTrak™ Butterfly Knife | Blue Steel (Well-Worn),EUR,,,,,,0,,,,,0,1348.29,1348.29,1348.29,1348.29,1,1088.8,1348.29,1233.63,1236.06,5
Sticker | Baby Lore,EUR,0.63,,,,,0,0.14,0.49,0.3,0.19,11,0.14,0.9,0.35,0.35,75,0.12,0.9,0.3,0.29,225
Sealed Graffiti | Piggles (War Pig Pink),EUR,0.04,,,,,0,0.04,0.04,0.04,0.04,82,0.03,0.04,0.04,0.04,84,0.02,0.1,0.04,0.04,108
Sticker | paiN Gaming | Austin 2025,EUR,0.1,,,,,0,0.03,0.03,0.03,0.03,1,0.03,0.03,0.03,0.03,1,0.03,0.03,0.03,0.03,1
